Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KCMI,MaxPoP,2016-05-18,15,13,2,17,2,3,17,58,24,34,24
KCMI,MaxPoP,2016-05-19,1,1,3,2,3,2,2,13,58,58,58
KCMI,MaxPoP,2016-05-20,66,11,7,2,95,51,12,22,11,58,56
KCMI,MaxPoP,2016-05-21,15,15,13,5,4,24,46,20,58,58,33
KCMI,MaxPoP,2016-05-22,0,1,1,0,1,0,10,9,17,16,58
KCMI,MaxPoP,2016-05-23,0,1,3,15,15,5,1,11,5,52,24
KCMI,MaxPoP,2016-05-24,15,15,41,15,24,40,68,19,58,33,59
KCMI,MaxPoP,2016-05-25,15,52,83,61,58,58,58,74,58,58,24
KCMI,MaxPoP,2016-05-26,nan,nan,48,87,71,58,42,52,45,52,58
KCMI,MaxPoP,2016-05-27,96,nan,nan,83,88,65,58,58,54,58,57
KCMI,MaxPoP,2016-05-28,38,24,nan,nan,38,36,72,58,58,58,49
KCMI,MaxPoP,2016-05-29,15,15,24,nan,nan,30,31,67,53,58,58
KCMI,MaxPoP,2016-05-30,59,15,24,11,nan,nan,24,31,55,58,58
KCMI,MaxPoP,2016-05-31,36,34,18,42,30,nan,nan,15,62,57,58
KCMI,MaxPoP,2016-06-01,98,57,71,76,69,58,nan,nan,15,24,24
KCMI,MaxPoP,2016-06-02,2,1,2,7,42,78,58,nan,nan,37,31
KCMI,MaxPoP,2016-06-03,15,15,1,1,2,5,24,15,nan,nan,34
KCMI,MaxPoP,2016-06-04,100,77,81,73,90,24,17,15,12,nan,nan
KCMI,MaxPoP,2016-06-05,15,8,17,18,24,12,24,50,24,58,nan
KCMI,MaxPoP,2016-06-06,15,15,15,15,24,7,10,24,15,19,56
KCMI,MaxPoP,2016-06-07,2,3,8,5,5,7,5,10,7,14,24
KCMI,MaxPoP,2016-06-08,0,2,2,3,4,3,2,2,15,23,39
KCMI,MaxPoP,2016-06-09,52,15,24,19,15,31,48,10,5,50,53
KCMI,MaxPoP,2016-06-10,15,15,34,37,24,35,42,21,58,14,55
KCMI,MaxPoP,2016-06-11,15,33,15,22,24,19,3,11,7,58,11
KCMI,MaxPoP,2016-06-12,15,15,36,15,24,16,15,8,44,20,58
KCMI,MaxPoP,2016-06-13,24,22,15,24,57,15,7,70,60,58,58
KCMI,MaxPoP,2016-06-14,55,63,66,62,79,58,60,38,64,58,58
KCMI,MaxPoP,2016-06-15,24,90,51,70,65,58,58,74,58,24,58
KCMI,MaxPoP,2016-06-16,2,4,5,7,6,10,58,58,58,58,24
KCMI,MaxPoP,2016-06-17,0,3,4,8,7,15,15,58,58,58,24
KCMI,MaxPoP,2016-06-18,0,0,5,2,2,2,1,11,58,58,33
KCMI,MaxPoP,2016-06-19,15,19,2,1,3,1,3,1,47,58,24
